date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:23:04	13265/13265	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Aug%202018%2014:04:12%20GMT	https://colorlib.com/preview/theme/genius/course.html	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/course.html	(from )
12:23:04	73/73	---MCZ	200	added ('OK')	text/plain	etag:W/%22526e4e2b-5e%22	https://colorlib.com/robots.txt		(from )
12:23:04	9467/9467	---MCZ	200	added ('OK')	text/css	etag:W/%225b8161f1-24fb%22	https://colorlib.com/preview/theme/genius/css/open-iconic-bootstrap.min.css	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/css/open-iconic-bootstrap.min.css	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:04	56663/56663	---MCZ	200	added ('OK')	text/css	etag:W/%225b8161e9-11fa9%22	https://colorlib.com/preview/theme/genius/css/animate.css	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/css/animate.css	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:04	3440/3440	---MCZ	200	added ('OK')	text/css	etag:W/%225b8161f2-d70%22	https://colorlib.com/preview/theme/genius/css/owl.carousel.min.css	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/css/owl.carousel.min.css	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:05	965/965	---MCZ	200	added ('OK')	text/css	etag:W/%225b8161f2-3c5%22	https://colorlib.com/preview/theme/genius/css/owl.theme.default.min.css	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/css/owl.theme.default.min.css	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:05	5236/5236	---MCZ	200	added ('OK')	text/css	etag:W/%225b8161f1-1b26%22	https://colorlib.com/preview/theme/genius/css/magnific-popup.css	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/css/magnific-popup.css	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:05	25948/25948	---MCZ	200	added ('OK')	text/css	etag:W/%225b8161e7-657f%22	https://colorlib.com/preview/theme/genius/css/aos.css	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/css/aos.css	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:05	46816/46816	---MCZ	200	added ('OK')	text/css	etag:W/%225b8161f0-b6e0%22	https://colorlib.com/preview/theme/genius/css/ionicons.min.css	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/css/ionicons.min.css	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:06	16329/16329	---MCZ	200	added ('OK')	text/css	etag:W/%225b8161e9-4619%22	https://colorlib.com/preview/theme/genius/css/bootstrap-datepicker.css	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/css/bootstrap-datepicker.css	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:06	1426/1426	---MCZ	200	added ('OK')	text/css	etag:W/%225b8161f0-634%22	https://colorlib.com/preview/theme/genius/css/jquery.timepicker.css	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/css/jquery.timepicker.css	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:06	977/977	---MCZ	200	added ('OK')	text/css	etag:W/%225b8161eb-4f1%22	https://colorlib.com/preview/theme/genius/css/flaticon.css	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/css/flaticon.css	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:06	66594/66594	---MCZ	200	added ('OK')	text/css	etag:W/%225b8161ef-13803%22	https://colorlib.com/preview/theme/genius/css/icomoon.css	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/css/icomoon.css	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:07	202021/202021	---MCZ	200	added ('OK')	text/css	etag:W/%225b8161f6-3dc44%22	https://colorlib.com/preview/theme/genius/css/style.css	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/css/style.css	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:07	27326/27326	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Aug%202018%2014:04:14%20GMT	https://colorlib.com/preview/theme/genius/index.html	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/index.html	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:07	15163/15163	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Aug%202018%2014:04:08%20GMT	https://colorlib.com/preview/theme/genius/about.html	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/about.html	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:08	17580/17580	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Aug%202018%2014:04:16%20GMT	https://colorlib.com/preview/theme/genius/teacher.html	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/teacher.html	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:08	13579/13579	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Aug%202018%2014:04:12%20GMT	https://colorlib.com/preview/theme/genius/blog.html	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/blog.html	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:09	12411/12411	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Aug%202018%2014:04:13%20GMT	https://colorlib.com/preview/theme/genius/event.html	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/event.html	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:09	10967/10967	---MCZ	200	added ('OK')	text/html	date:Sat,%2025%20Aug%202018%2014:04:11%20GMT	https://colorlib.com/preview/theme/genius/contact.html	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/contact.html	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:09	361961/361961	---M--	200	added ('OK')	image/jpeg	etag:%225b81620c-6c105%22	https://colorlib.com/preview/theme/genius/images/bg_2.jpg	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/images/bg_2.jpg	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:09	82195/82195	---M--	200	added ('OK')	image/jpeg	etag:%225b816217-16ed8%22	https://colorlib.com/preview/theme/genius/images/course-1.jpg	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/images/course-1.jpg	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:10	71892/71892	---M--	200	added ('OK')	image/jpeg	etag:%225b81621b-14d77%22	https://colorlib.com/preview/theme/genius/images/course-2.jpg	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/images/course-2.jpg	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:10	107751/107751	---M--	200	added ('OK')	image/jpeg	etag:%225b81621f-1d4ba%22	https://colorlib.com/preview/theme/genius/images/course-3.jpg	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/images/course-3.jpg	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:10	66803/66803	---M--	200	added ('OK')	image/jpeg	etag:%225b81621d-11e58%22	https://colorlib.com/preview/theme/genius/images/course-4.jpg	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/images/course-4.jpg	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:10	53191/53191	---M--	200	added ('OK')	image/jpeg	etag:%225b81621f-f12c%22	https://colorlib.com/preview/theme/genius/images/course-5.jpg	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/images/course-5.jpg	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:10	47644/47644	---M--	200	added ('OK')	image/jpeg	etag:%225b816221-cdcc%22	https://colorlib.com/preview/theme/genius/images/course-6.jpg	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/images/course-6.jpg	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:11	51119/51119	---M--	200	added ('OK')	image/jpeg	etag:%225b81622f-ef3b%22	https://colorlib.com/preview/theme/genius/images/image_1.jpg	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/images/image_1.jpg	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:11	93956/93956	---M--	200	added ('OK')	image/jpeg	etag:%225b816231-19b72%22	https://colorlib.com/preview/theme/genius/images/image_2.jpg	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/images/image_2.jpg	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:11	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e25b8a6-4d7%22	https://colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/NHA/colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:11	268038/268038	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b816260-41706%22	https://colorlib.com/preview/theme/genius/js/jquery.min.js	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/js/jquery.min.js	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:12	11421/11421	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b816256-2c9d%22	https://colorlib.com/preview/theme/genius/js/jquery-migrate-3.0.1.min.js	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/js/jquery-migrate-3.0.1.min.js	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:12	19032/19032	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b816262-4a58%22	https://colorlib.com/preview/theme/genius/js/popper.min.js	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/js/popper.min.js	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:12	50676/50676	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b816255-c5f4%22	https://colorlib.com/preview/theme/genius/js/bootstrap.min.js	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/js/bootstrap.min.js	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:12	3601/3601	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b816258-1faf%22	https://colorlib.com/preview/theme/genius/js/jquery.easing.1.3.js	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/js/jquery.easing.1.3.js	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:12	8835/8835	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b81625f-2283%22	https://colorlib.com/preview/theme/genius/js/jquery.waypoints.min.js	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/js/jquery.waypoints.min.js	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:13	12597/12597	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b81625a-3135%22	https://colorlib.com/preview/theme/genius/js/jquery.stellar.min.js	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/js/jquery.stellar.min.js	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:13	43237/43237	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b816262-a8e5%22	https://colorlib.com/preview/theme/genius/js/owl.carousel.min.js	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/js/owl.carousel.min.js	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:13	20216/20216	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b816258-4ef8%22	https://colorlib.com/preview/theme/genius/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/js/jquery.magnific-popup.min.js	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:13	14212/14212	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b816250-37a4%22	https://colorlib.com/preview/theme/genius/js/aos.js	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/js/aos.js	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:13	1391/1391	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b816257-56f%22	https://colorlib.com/preview/theme/genius/js/jquery.animateNumber.min.js	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/js/jquery.animateNumber.min.js	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:14	33269/33269	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b816251-b6e4%22	https://colorlib.com/preview/theme/genius/js/bootstrap-datepicker.js	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/js/bootstrap-datepicker.js	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:14	15764/15764	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b81625e-3d94%22	https://colorlib.com/preview/theme/genius/js/jquery.timepicker.min.js	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/js/jquery.timepicker.min.js	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:14	7447/7447	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b816263-1d17%22	https://colorlib.com/preview/theme/genius/js/scrollax.min.js	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/js/scrollax.min.js	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:14	788/788	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b816253-79a%22	https://colorlib.com/preview/theme/genius/js/google-map.js	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/js/google-map.js	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:15	4871/4871	---MCZ	200	added ('OK')	application/javascript	etag:W/%225b816260-1a71%22	https://colorlib.com/preview/theme/genius/js/main.js	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/js/main.js	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:15	12310/12310	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e25b8a6-3016%22	https://ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	C:/My%20Web%20Sites/NHA/ajax.cloudflare.com/cdn-cgi/scripts/7089c43e/cloudflare-static/rocket-loader.min.js	(from https://colorlib.com/preview/theme/genius/course.html)
12:23:16	28196/28196	---M--	200	added ('OK')	application/octet-stream	etag:%225b81629e-6e24%22	https://colorlib.com/preview/theme/genius/fonts/open-iconic/open-iconic.eot	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/fonts/open-iconic/open-iconic.eot	(from https://colorlib.com/preview/theme/genius/css/open-iconic-bootstrap.min.css)
12:23:16	28196/28196	---M--	200	added ('OK')	application/octet-stream	etag:%225b81629e-6e24%22	https://colorlib.com/preview/theme/genius/fonts/open-iconic/open-iconic.eot?	C:/My%20Web%20Sites/NHA/colorlib.com/preview/theme/genius/fonts/open-iconic/open-iconicd41d.eot	(from https://colorlib.com/preview/theme/genius/css/open-iconic-bootstrap.min.css)
